                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.51119,                0.66659,                0.32133,                0.88342,                0.91614,                0.91332,                0.93502,                0.73523,                0.91614,                0.91332,                0.93502,                0.61858,                0.82267,                 1.0902,                 0.4458,                 1.1029,              0.0010848,              0.0010848,              0.0010848
                     76,                0.50159,                0.65281,                0.31536,                0.88044,                0.97536,                0.86223,                 0.9385,                0.73389,                0.97536,                0.86223,                 0.9385,                0.60466,                0.81557,                 1.1075,                 0.4761,                 1.0779,                0.00108,                0.00108,                0.00108
                     77,                0.50308,                0.67099,                0.30671,                0.87838,                0.91183,                0.90988,                 0.9331,                0.73932,                0.91183,                0.90988,                 0.9331,                0.61827,                0.82393,                 1.1247,                0.47433,                  1.093,              0.0010753,              0.0010753,              0.0010753
                     78,                0.50689,                0.68125,                0.31579,                0.88778,                  0.956,                0.90778,                0.96375,                0.75707,                0.95891,                0.91018,                0.96453,                0.64442,                0.82018,                 1.0802,                0.40367,                 1.0991,              0.0010706,              0.0010706,              0.0010706
                     79,                0.50278,                0.65613,                0.32094,                0.88116,                0.94969,                0.87629,                0.93448,                0.73577,                0.94969,                0.87629,                0.93198,                0.60949,                0.82098,                 1.0686,                0.45239,                 1.0938,              0.0010659,              0.0010659,              0.0010659
                     80,                0.48881,                0.64959,                0.30672,                0.87985,                0.95705,                0.89926,                0.94946,                 0.7551,                0.95403,                0.89643,                 0.9429,                0.62763,                 0.8285,                 1.1161,                0.45612,                 1.0937,              0.0010612,              0.0010612,              0.0010612
                     81,                0.50221,                0.66334,                0.30611,                0.88675,                0.93094,                 0.9214,                0.94712,                0.75368,                0.93094,                 0.9214,                0.94712,                0.62235,                0.81015,                 1.0798,                0.43408,                  1.079,              0.0010565,              0.0010565,              0.0010565
                     82,                0.50404,                0.65872,                0.30728,                0.88322,                0.92579,                0.90177,                0.94657,                0.74669,                0.92579,                0.90177,                0.94657,                0.62295,                0.83603,                 1.1557,                0.49873,                 1.1023,              0.0010517,              0.0010517,              0.0010517
                     83,                0.50099,                0.65914,                0.30616,                0.88694,                0.93551,                0.89099,                0.94539,                0.75298,                0.93551,                0.89099,                0.94641,                 0.6355,                0.82483,                 1.2396,                0.46239,                 1.1107,               0.001047,               0.001047,               0.001047
                     84,                0.49631,                 0.6457,                0.29947,                0.88047,                0.93565,                0.90127,                0.92909,                0.73985,                0.94059,                0.87697,                0.92831,                0.62786,                0.81926,                 1.1119,                0.48938,                 1.0977,              0.0010423,              0.0010423,              0.0010423
                     85,                0.48597,                0.65187,                0.29438,                  0.876,                0.95815,                0.87725,                0.94368,                0.73881,                0.95862,                0.88793,                0.94514,                0.59933,                0.81329,                 1.0324,                 0.4433,                 1.0938,              0.0010376,              0.0010376,              0.0010376
                     86,                0.48284,                0.63239,                0.30437,                0.88032,                0.93547,                0.88638,                0.93652,                0.74591,                0.93547,                0.88638,                0.93532,                0.63104,                0.80499,                 1.1328,                0.43875,                 1.0903,              0.0010329,              0.0010329,              0.0010329
                     87,                0.49199,                0.63766,                 0.3086,                 0.8745,                0.96735,                0.85922,                0.91538,                 0.7233,                0.96427,                 0.8564,                0.91492,                0.60237,                 0.8164,                 1.1215,                0.49828,                 1.0919,              0.0010282,              0.0010282,              0.0010282
                     88,                0.47531,                0.62972,                0.29313,                0.86996,                0.96055,                0.85338,                0.93677,                0.73476,                0.96055,                0.85338,                0.93677,                0.61492,                 0.8118,                 1.1763,                0.46186,                 1.1083,              0.0010234,              0.0010234,              0.0010234
                     89,                0.49465,                0.61079,                0.30492,                0.88917,                0.92909,                0.89177,                0.93194,                0.74187,                0.92909,                0.89177,                0.93194,                0.62532,                0.80839,                 1.1604,                0.45636,                 1.1023,              0.0010187,              0.0010187,              0.0010187
                     90,                0.47758,                0.64171,                0.29708,                0.87343,                0.94917,                0.90136,                0.93877,                0.74835,                0.95174,                0.90385,                0.94284,                0.63222,                0.81561,                 1.2335,                0.45444,                 1.0937,               0.001014,               0.001014,               0.001014
                     91,                0.46176,                0.61318,                0.28762,                0.87047,                0.94137,                0.86581,                0.94113,                0.73853,                0.94137,                0.86581,                0.94113,                0.61685,                0.82342,                 1.2003,                0.44113,                 1.1019,              0.0010093,              0.0010093,              0.0010093
                     92,                0.46723,                 0.6145,                0.29665,                0.87012,                 0.9325,                0.88006,                0.93237,                0.74377,                 0.9325,                0.88006,                0.93237,                0.62326,                0.81536,                 1.1405,                0.48415,                 1.1162,              0.0010046,              0.0010046,              0.0010046
                     93,                 0.4578,                 0.5957,                0.28799,                0.86979,                0.96554,                0.86732,                0.94925,                 0.7542,                0.96554,                0.86732,                0.94778,                0.63814,                0.80728,                 1.1693,                0.44906,                 1.1042,             0.00099987,             0.00099987,             0.00099987
                     94,                0.47023,                0.62287,                0.28581,                0.86658,                0.94065,                 0.8907,                0.94265,                 0.7587,                0.94065,                 0.8907,                0.94265,                0.64192,                0.81555,                 1.2143,                0.48605,                 1.0999,             0.00099516,             0.00099516,             0.00099516
                     95,                0.45441,                0.61907,                 0.2832,                0.86002,                0.95612,                0.87935,                0.94497,                 0.7607,                0.95024,                 0.8737,                0.93899,                0.64808,                0.80706,                  1.194,                0.44884,                 1.0901,             0.00099044,             0.00099044,             0.00099044
                     96,                0.46789,                0.61698,                0.28501,                0.86733,                0.95437,                  0.888,                0.93707,                0.74736,                0.95437,                  0.888,                 0.9384,                0.63071,                0.82143,                 1.2033,                0.47668,                 1.0907,             0.00098572,             0.00098572,             0.00098572
                     97,                0.44542,                0.60807,                0.28081,                0.86782,                0.95828,                0.89505,                 0.9431,                0.75843,                0.95828,                0.89505,                 0.9439,                0.63596,                0.79049,                  1.227,                0.46367,                 1.0867,             0.00098101,             0.00098101,             0.00098101
                     98,                0.44901,                0.56545,                0.28434,                0.85973,                0.96242,                0.87287,                0.94777,                0.75143,                 0.9623,                0.87254,                0.94973,                0.63013,                0.79719,                 1.1539,                0.44302,                 1.0947,             0.00097629,             0.00097629,             0.00097629
                     99,                0.45389,                0.57864,                0.28577,                0.86671,                0.94032,                0.87338,                0.95128,                0.76109,                0.94032,                0.87338,                0.95128,                0.64785,                0.79256,                 1.1459,                0.44192,                 1.0803,             0.00097158,             0.00097158,             0.00097158
                    100,                0.45333,                0.61871,                0.28415,                 0.8593,                0.93911,                0.88594,                 0.9489,                0.74899,                0.93911,                0.88594,                 0.9489,                 0.6235,                0.80945,                 1.1438,                0.43499,                 1.1204,             0.00096686,             0.00096686,             0.00096686
                    101,                0.45415,                0.57928,                0.28526,                0.86212,                0.92527,                0.89293,                0.94639,                0.74343,                0.92527,                0.89293,                0.94822,                0.62538,                0.81148,                 1.1677,                 0.4064,                 1.0997,             0.00096215,             0.00096215,             0.00096215
                    102,                0.44929,                0.59248,                0.28326,                0.85703,                0.92615,                0.89023,                0.93547,                0.74307,                0.92019,                0.88458,                0.92843,                0.62805,                0.82909,                 1.3047,                0.51809,                 1.1128,             0.00095743,             0.00095743,             0.00095743
                    103,                0.45027,                0.59156,                0.28167,                0.86053,                0.95043,                0.87563,                0.93812,                0.75176,                0.95043,                0.87563,                0.93812,                0.62728,                0.81108,                 1.2079,                0.45321,                 1.0889,             0.00095271,             0.00095271,             0.00095271
                    104,                 0.4504,                0.57761,                0.27789,                0.86438,                0.95237,                0.87851,                0.93435,                0.74818,                0.94942,                0.87569,                0.92886,                0.62897,                0.81011,                 1.2246,                0.45348,                 1.0997,               0.000948,               0.000948,               0.000948
                    105,                 0.4459,                0.58695,                0.27415,                0.86384,                0.95379,                0.88027,                0.93627,                0.74103,                0.94784,                0.87462,                0.92997,                0.62447,                0.81245,                  1.197,                0.44978,                 1.0844,             0.00094328,             0.00094328,             0.00094328
                    106,                0.44112,                 0.6082,                0.26903,                0.85428,                0.93784,                0.87663,                0.93033,                0.73454,                0.93784,                0.87663,                0.93033,                0.61994,                0.81151,                 1.2544,                0.47585,                  1.098,             0.00093857,             0.00093857,             0.00093857
                    107,                0.44476,                0.58484,                0.27064,                0.86422,                0.91013,                0.90543,                0.92845,                0.73754,                0.91013,                0.90543,                0.92845,                0.62815,                0.80896,                 1.2253,                0.47343,                 1.1142,             0.00093385,             0.00093385,             0.00093385
                    108,                0.43683,                0.59526,                0.27415,                0.86126,                0.93392,                0.88906,                0.91446,                0.72216,                0.93649,                0.89155,                0.91891,                0.60243,                0.80379,                 1.2157,                0.47044,                  1.104,             0.00092914,             0.00092914,             0.00092914
                    109,                0.44887,                0.58068,                0.27232,                0.86187,                 0.9532,                0.88054,                0.91404,                0.72332,                 0.9532,                0.88054,                0.91367,                0.61066,                0.80748,                 1.1836,                0.46227,                 1.1013,             0.00092442,             0.00092442,             0.00092442
                    110,                0.44269,                 0.5814,                0.28194,                0.86523,                0.96612,                0.88334,                0.92816,                0.74807,                0.96315,                0.88052,                0.92575,                0.62954,                0.80044,                 1.2527,                0.43857,                 1.0972,              0.0009197,              0.0009197,              0.0009197
                    111,                0.42894,                0.57881,                0.26858,                0.85398,                0.94954,                0.88824,                 0.9284,                0.75344,                0.94954,                0.88824,                 0.9284,                0.62556,                0.80623,                 1.3555,                0.49067,                 1.1131,             0.00091499,             0.00091499,             0.00091499
                    112,                0.43946,                0.57447,                0.26999,                0.85803,                0.97695,                0.88422,                0.93495,                 0.7603,                0.97695,                0.88422,                0.93495,                 0.6357,                0.81352,                 1.2505,                0.46317,                 1.1075,             0.00091027,             0.00091027,             0.00091027
                    113,                0.44208,                0.58284,                0.27785,                0.85982,                0.97763,                0.87009,                0.92674,                0.74627,                0.97464,                0.86727,                 0.9244,                0.62214,                0.81864,                 1.2453,                0.48048,                 1.1164,             0.00090556,             0.00090556,             0.00090556
                    114,                0.42282,                0.57639,                0.26895,                 0.8588,                0.96071,                0.86707,                 0.9318,                0.75246,                0.96071,                0.86707,                 0.9318,                0.63077,                0.78162,                 1.1969,                0.46334,                 1.1025,             0.00090084,             0.00090084,             0.00090084
                    115,                 0.4346,                0.56571,                0.27308,                0.85668,                0.96248,                0.88165,                0.93079,                0.74866,                0.96248,                0.88165,                0.93079,                0.62966,                0.79922,                 1.2485,                0.40847,                 1.1146,             0.00089613,             0.00089613,             0.00089613
                    116,                0.43193,                0.57899,                0.26567,                0.86138,                0.98085,                0.85923,                0.92917,                0.75386,                0.98085,                0.85923,                0.92917,                0.63406,                0.77951,                 1.1781,                0.46214,                 1.0951,             0.00089141,             0.00089141,             0.00089141
                    117,                0.41912,                0.56028,                0.26385,                0.85265,                0.96658,                0.85673,                 0.9348,                0.74351,                0.96658,                0.85673,                 0.9348,                0.63554,                0.79115,                 1.2314,                0.48269,                 1.1045,             0.00088669,             0.00088669,             0.00088669
                    118,                0.43032,                 0.5599,                0.26406,                0.85843,                0.92063,                0.90011,                0.94195,                0.74496,                0.92063,                0.90011,                 0.9428,                0.63271,                0.80431,                 1.2401,                0.46335,                 1.1062,             0.00088198,             0.00088198,             0.00088198
                    119,                0.41875,                0.57265,                0.25989,                0.85322,                0.95202,                0.87052,                0.93714,                0.74985,                0.95202,                0.87052,                 0.9367,                0.63892,                0.80918,                 1.2242,                0.47191,                 1.1066,             0.00087726,             0.00087726,             0.00087726
                    120,                0.41947,                0.54711,                0.26499,                 0.8635,                 0.9525,                0.86123,                0.91823,                0.74396,                 0.9525,                0.86123,                0.91955,                0.63125,                0.78615,                 1.2605,                0.52731,                 1.0965,             0.00087255,             0.00087255,             0.00087255
                    121,                 0.4231,                0.58741,                0.26331,                0.85052,                0.94994,                0.87013,                0.91341,                0.73077,                0.94994,                0.87013,                0.92043,                0.60951,                0.77897,                 1.1624,                0.46624,                 1.0905,             0.00086783,             0.00086783,             0.00086783
                    122,                0.42052,                0.55004,                0.26759,                0.85737,                0.97064,                0.86594,                 0.9221,                0.74298,                0.97356,                0.86836,                0.93157,                0.62004,                0.80554,                  1.268,                0.46082,                 1.1128,             0.00086312,             0.00086312,             0.00086312
                    123,                 0.4158,                0.56266,                0.26305,                0.85119,                0.96757,                0.84606,                0.92876,                0.74506,                0.96757,                0.84606,                0.92972,                 0.6235,                0.81284,                 1.2902,                0.50099,                 1.1254,              0.0008584,              0.0008584,              0.0008584
                    124,                0.41772,                0.56717,                0.26809,                0.84818,                0.95713,                0.88129,                0.93508,                 0.7531,                0.95713,                0.88129,                0.93508,                0.61706,                0.79998,                 1.3217,                0.44911,                 1.1275,             0.00085368,             0.00085368,             0.00085368
                    125,                0.42911,                0.57584,                0.27293,                0.86244,                0.91475,                0.91753,                0.93535,                0.73847,                0.91475,                0.91753,                0.93535,                0.62333,                0.80388,                  1.252,                0.44104,                 1.1084,             0.00084897,             0.00084897,             0.00084897
                    126,                0.41768,                0.54636,                  0.261,                0.85989,                0.96029,                0.86051,                 0.9262,                0.73192,                0.96029,                0.86051,                 0.9262,                0.61916,                0.80624,                 1.2884,                0.45219,                   1.11,             0.00084425,             0.00084425,             0.00084425
                    127,                 0.4282,                0.54356,                0.26457,                0.85608,                0.93707,                0.89094,                0.93307,                  0.744,                0.93707,                0.89094,                0.93307,                0.63416,                0.78997,                 1.2109,                0.47118,                 1.1033,             0.00083954,             0.00083954,             0.00083954
                    128,                0.40746,                0.56561,                  0.258,                0.85362,                0.93523,                0.90283,                0.93919,                0.75353,                0.93791,                0.90532,                 0.9429,                0.64469,                0.79536,                 1.2574,                0.46897,                 1.1076,             0.00083482,             0.00083482,             0.00083482
                    129,                0.39694,                0.55286,                0.25345,                0.84543,                0.95535,                0.85194,                0.93322,                0.74989,                0.96156,                0.85684,                0.94128,                0.63064,                0.78289,                 1.2794,                0.49444,                  1.106,             0.00083011,             0.00083011,             0.00083011
                    130,                 0.4171,                0.55489,                0.25809,                0.85262,                0.96665,                0.85716,                0.92103,                0.73784,                0.96952,                0.85965,                0.92597,                 0.6294,                0.81374,                 1.3404,                0.46864,                 1.1191,             0.00082539,             0.00082539,             0.00082539
                    131,                0.41078,                0.55503,                0.25422,                0.84882,                0.96728,                0.85795,                0.93152,                0.74161,                0.97025,                0.86028,                 0.9355,                0.62501,                0.79718,                 1.2867,                0.44097,                 1.1067,             0.00082067,             0.00082067,             0.00082067
                    132,                0.41111,                0.55816,                0.26152,                0.84952,                0.93292,                0.86826,                0.92423,                0.73133,                0.93578,                0.87075,                0.92825,                0.62519,                0.80095,                 1.2928,                0.46412,                 1.1107,             0.00081596,             0.00081596,             0.00081596
                    133,                0.41365,                0.53559,                0.26042,                0.85393,                0.96334,                0.86257,                0.92364,                0.72984,                0.96334,                0.86257,                0.92364,                 0.6231,                0.81194,                 1.3379,                0.48891,                 1.1072,             0.00081124,             0.00081124,             0.00081124
                    134,                0.41935,                0.57128,                0.25973,                0.85688,                0.95002,                 0.8762,                0.92788,                0.74303,                0.95284,                0.87869,                0.93201,                0.62897,                0.80293,                 1.2022,                0.47243,                  1.096,             0.00080653,             0.00080653,             0.00080653
                    135,                0.40741,                 0.5455,                0.25759,                0.85017,                0.93534,                0.88709,                0.92911,                0.74338,                0.93534,                0.88709,                0.92911,                0.63368,                0.79793,                 1.2598,                0.47041,                 1.0961,             0.00080181,             0.00080181,             0.00080181
                    136,                0.40689,                0.53843,                0.25585,                0.84751,                0.95476,                0.87142,                 0.9207,                0.73247,                0.95476,                0.87142,                 0.9207,                0.61947,                0.80238,                 1.2469,                0.47206,                 1.1071,              0.0007971,              0.0007971,              0.0007971
                    137,                0.39775,                0.56051,                0.25034,                0.84729,                0.95198,                 0.8784,                0.91754,                0.73273,                0.95471,                0.88089,                0.92202,                0.61553,                0.79264,                 1.2508,                0.44146,                  1.104,             0.00079238,             0.00079238,             0.00079238
                    138,                0.39025,                0.50238,                0.23927,                0.84959,                0.93909,                0.86766,                0.92256,                0.74008,                0.93909,                0.86766,                0.92256,                0.62748,                0.79494,                 1.2859,                0.47399,                 1.1085,             0.00078766,             0.00078766,             0.00078766
                    139,                0.40089,                0.53331,                 0.2532,                0.85557,                0.97065,                0.87395,                0.93093,                0.73535,                0.97065,                0.87395,                0.92895,                0.62183,                 0.8028,                  1.294,                0.43101,                 1.0955,             0.00078295,             0.00078295,             0.00078295
                    140,                0.39264,                0.51587,                0.23964,                0.85553,                0.94547,                0.87041,                0.91884,                0.72643,                0.94547,                0.87041,                0.91686,                0.61208,                0.80566,                 1.2882,                0.44123,                 1.1085,             0.00077823,             0.00077823,             0.00077823
                    141,                0.40129,                 0.5199,                0.25016,                0.84347,                0.96525,                0.87528,                0.92362,                 0.7348,                0.96525,                0.87528,                0.92143,                0.60457,                0.78531,                 1.2578,                0.42644,                 1.0975,             0.00077352,             0.00077352,             0.00077352
                    142,                0.39656,                0.51019,                0.24829,                0.84151,                0.95431,                0.88183,                0.91786,                 0.7333,                0.95431,                0.88183,                0.91788,                0.61735,                0.79011,                 1.3186,                0.41853,                 1.0976,              0.0007688,              0.0007688,              0.0007688
                    143,                0.38804,                0.49832,                0.24125,                0.84342,                0.95765,                0.87555,                0.92286,                0.72838,                0.96033,                0.87804,                0.93057,                0.61792,                0.79325,                 1.3209,                 0.4294,                 1.0942,             0.00076409,             0.00076409,             0.00076409
                    144,                0.39458,                0.52265,                0.24776,                0.84404,                0.94269,                  0.873,                 0.9305,                0.74263,                 0.9454,                0.87549,                0.93534,                0.61501,                0.78834,                 1.3607,                0.40736,                 1.0945,             0.00075937,             0.00075937,             0.00075937
                    145,                0.39235,                0.52833,                0.24625,                0.85294,                0.96492,                0.85468,                 0.9399,                0.75414,                0.96781,                0.85717,                0.94489,                 0.6256,                0.78826,                 1.3455,                0.43605,                 1.0967,             0.00075465,             0.00075465,             0.00075465
                    146,                0.39225,                0.50455,                0.24567,                0.84465,                0.95971,                0.86045,                0.93943,                0.75325,                0.96254,                0.86294,                 0.9437,                0.62955,                0.78527,                 1.3337,                0.46535,                 1.0922,             0.00074994,             0.00074994,             0.00074994
                    147,                0.38679,                0.52467,                0.24395,                0.84449,                0.96595,                0.86629,                0.93881,                0.75061,                0.96884,                 0.8687,                0.94312,                0.63123,                0.78057,                 1.2548,                0.41963,                 1.1059,             0.00074522,             0.00074522,             0.00074522
                    148,                0.39422,                0.53192,                0.25023,                0.84747,                0.96667,                0.85236,                0.93309,                0.74905,                0.96667,                0.85236,                0.93309,                0.63724,                0.77456,                 1.2749,                0.42673,                 1.0945,             0.00074051,             0.00074051,             0.00074051
                    149,                0.37634,                0.52609,                 0.2384,                0.83529,                0.97471,                0.87619,                0.93429,                0.75249,                0.97749,                0.87868,                0.93898,                0.63245,                0.78228,                 1.3012,                0.43814,                 1.1025,             0.00073579,             0.00073579,             0.00073579
